,ymd,stock_code,pb
199,2026-01-05,000686,1
200,2026-01-05,000688,4.71
201,2026-01-05,000690,0.78
202,2026-01-05,000692,-6.51
203,2026-01-05,000695,12.97
204,2026-01-05,000700,1.71
205,2026-01-05,000701,13.5
206,2026-01-05,000702,7.2
207,2026-01-05,000703,0.98
208,2026-01-05,000705,1.34
209,2026-01-05,000707,1.39
210,2026-01-05,000708,1.53
211,2026-01-05,000709,0.44
212,2026-01-05,000710,2.2
213,2026-01-05,000712,5.46
214,2026-01-05,000713,2.44
215,2026-01-05,000715,1.45
216,2026-01-05,000716,2.21
217,2026-01-05,000717,0.8
218,2026-01-05,000718,0.72
219,2026-01-05,000719,1.07
220,2026-01-05,000720,1.6
221,2026-01-05,000721,15.45
222,2026-01-05,000722,1.42
223,2026-01-05,000723,1.36
224,2026-01-05,000725,1.33
225,2026-01-05,000726,0.55
226,2026-01-05,000727,4.47
227,2026-01-05,000728,0.98
228,2026-01-05,000729,2.11
229,2026-01-05,000731,0.97
230,2026-01-05,000733,1.62
231,2026-01-05,000735,1.65
232,2026-01-05,000737,3.2
233,2026-01-05,000738,2.13
234,2026-01-05,000739,2.7
235,2026-01-05,000750,1.24
236,2026-01-05,000751,1.28
237,2026-01-05,000753,1.55
238,2026-01-05,000755,1.35
239,2026-01-05,000756,2.16
240,2026-01-05,000757,1.34
241,2026-01-05,000758,1.76
242,2026-01-05,000759,2.84
243,2026-01-05,000761,1.07
244,2026-01-05,000762,3.74
245,2026-01-05,000766,6.72
246,2026-01-05,000767,1.38
247,2026-01-05,000768,3.47
248,2026-01-05,000776,1.03
249,2026-01-05,000777,3.22
250,2026-01-05,000778,0.55
251,2026-01-05,000779,1.09
252,2026-01-05,000782,1.64
253,2026-01-05,000783,1.06
254,2026-01-05,000785,1.73
255,2026-01-05,000786,2
256,2026-01-05,000788,2.35
257,2026-01-05,000789,0.6
258,2026-01-05,000790,2.32
259,2026-01-05,000791,1.06
260,2026-01-05,000792,2.6
261,2026-01-05,000795,4.73
262,2026-01-05,000796,6.9
263,2026-01-05,000797,0.82
264,2026-01-05,000798,5.14
265,2026-01-05,000799,3.78
266,2026-01-05,000800,1.57
267,2026-01-05,000801,5.76
268,2026-01-05,000802,3.48
269,2026-01-05,000803,1.69
270,2026-01-05,000807,2.07
271,2026-01-05,000809,0.82
272,2026-01-05,000810,2.68
273,2026-01-05,000811,1.67
274,2026-01-05,000812,2.07
275,2026-01-05,000813,1.47
276,2026-01-05,000815,4.58
277,2026-01-05,000816,2.2
278,2026-01-05,000818,6.64
279,2026-01-05,000819,2.71
280,2026-01-05,000821,1.97
281,2026-01-05,000822,0.89
282,2026-01-05,000823,1.26
283,2026-01-05,000825,0.59
284,2026-01-05,000826,0.96
285,2026-01-05,000828,1.13
286,2026-01-05,000829,3.9
287,2026-01-05,000830,1.24
288,2026-01-05,000831,6.82
289,2026-01-05,000833,3.08
290,2026-01-05,000837,2.2
291,2026-01-05,000838,4.36
292,2026-01-05,000839,8.8
293,2026-01-05,000848,2.84
294,2026-01-05,000850,0.9
295,2026-01-05,000852,1.97
296,2026-01-05,000856,6.29
297,2026-01-05,000858,3.74
298,2026-01-05,000859,1.7
299,2026-01-05,000860,1.82
300,2026-01-05,000862,1.05
301,2026-01-05,000863,1.02
302,2026-01-05,000868,7.85
303,2026-01-05,000869,1.42
304,2026-01-05,000875,1.14
305,2026-01-05,000876,1.94
306,2026-01-05,000877,0.49
307,2026-01-05,000878,1.78
308,2026-01-05,000880,3.76
309,2026-01-05,000881,1.23
310,2026-01-05,000882,1.08
311,2026-01-05,000883,0.9
312,2026-01-05,000885,0.96
313,2026-01-05,000886,2.11
314,2026-01-05,000887,1.71
315,2026-01-05,000888,2.51
316,2026-01-05,000889,19.92
317,2026-01-05,000890,19.08
318,2026-01-05,000892,3.46
319,2026-01-05,000893,1.73
320,2026-01-05,000895,4.48
321,2026-01-05,000897,1.22
322,2026-01-05,000898,0.44
323,2026-01-05,000899,1.42
324,2026-01-05,000900,0.58
325,2026-01-05,000901,2.13
326,2026-01-05,000902,1.51
327,2026-01-05,000905,1.04
