排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
159,鸡肉概念,BK0887,810.45,6.5,0.81,365589360000,1.38,17,3,圣农发展,2.01
160,屏下摄像,BK0947,1009.49,7.92,0.79,532263328000,2.23,6,3,TCL科技,2.71
161,转债标的,BK0528,13260.18,102.79,0.78,7397941504000,2.24,247,128,双良节能,10.0
162,磷化工,BK1010,1054.88,8.08,0.77,1324814784000,2.2,33,11,金正大,5.73
163,毛发医疗,BK0996,1032.07,7.89,0.77,123182492000,1.78,14,3,康惠股份,3.05
164,肝炎概念,BK1078,1430.93,10.87,0.77,658094992000,2.24,47,9,广生堂,7.5
165,草甘膦,BK0950,1931.34,14.63,0.76,210419544000,2.48,9,3,红太阳,4.43
166,锂电池,BK0574,4502.35,33.98,0.76,11069717248000,3.11,249,153,致远新能,19.98
167,核能核电,BK0577,3123.09,23.52,0.76,4846202368000,2.17,131,57,特发信息,10.01
168,发电机概念,BK1014,2007.58,15.02,0.75,189088271000,5.48,16,4,泰豪科技,6.63
169,中证500,BK0701,2703.91,20.16,0.75,19408854784000,2.41,328,169,美锦能源,10.0
170,磁悬浮概念,BK0975,2524.99,18.52,0.74,905098224000,2.34,19,9,中国中铁,3.45
171,C2M概念,BK0955,1502.21,10.96,0.73,328999952000,2.03,25,12,皮阿诺,10.02
172,生物疫苗,BK0548,29855.03,217.62,0.73,1048513072000,1.9,54,14,卫光生物,7.79
173,CAR-T细胞疗法,BK0986,1267.04,9.21,0.73,575888080000,1.83,20,4,智飞生物,2.61
174,阿兹海默,BK0894,2078.31,15.06,0.73,206871523000,2.17,14,4,双鹭药业,2.65
175,体外诊断,BK0841,1454.75,10.39,0.72,897799136000,2.06,51,17,赛科希德,10.15
176,免疫治疗,BK0698,1631.52,11.44,0.71,500056544000,1.54,34,9,泽璟制药-U,4.19
177,钠离子电池,BK0988,1886.83,13.01,0.69,2853350016000,2.05,40,22,华阳股份,5.88
178,汽车拆解,BK0943,1389.41,9.28,0.67,284693984000,2.62,12,6,启迪环境,4.41
179,合成生物,BK1174,1405.64,9.37,0.67,1494680528000,2.47,86,28,保龄宝,10.03
180,特高压,BK0918,2866.5,18.95,0.67,1831344256000,4.28,50,32,特发信息,10.01
181,碳纤维,BK1171,1835.27,12.11,0.66,530811520000,3.92,17,21,神开股份,10.02
182,机构重仓,BK0552,18754.69,123.29,0.66,51430330368000,1.22,729,369,宏盛华源,9.95
183,铁路基建,BK0592,3093.85,20.24,0.66,3192248368000,1.52,89,35,中国神华,7.12
184,降解塑料,BK0909,2104.04,13.74,0.66,899847808000,1.85,42,22,裕同科技,6.76
185,复合集流体,BK1113,1430.51,9.34,0.66,373077536000,4.01,14,15,阿石创,10.01
186,西部大开发,BK0590,3812.98,24.06,0.64,14028641536000,2.55,406,189,陕西黑猫,10.0
187,上海自贸,BK0643,3923.84,24.59,0.63,1028189648000,0.81,25,8,派能科技,4.36
188,深证100R,BK0743,1368.4,8.53,0.63,16363625216000,1.33,69,31,招商蛇口,7.31
189,互联金融,BK0637,5678.05,35.36,0.63,20871597056000,0.63,141,55,世联行,5.9
190,工业大麻,BK0856,2154.98,13.22,0.62,438340032000,2.66,26,11,顺灏股份,5.55
191,新型城镇化,BK1080,1179.18,7.14,0.61,539970688000,2.66,65,33,国晟科技,9.99
192,沪股通,BK0707,2692.27,16.08,0.6,75409899520000,1.32,976,541,宏盛华源,9.95
193,华为汽车,BK0984,2666.29,15.8,0.6,2340426080000,3.1,71,44,银轮股份,10.01
194,农业种植,BK0888,2675.22,15.79,0.59,886840496000,4.16,54,28,万辰集团,7.33
195,痘病毒防治,BK1085,940.04,5.52,0.59,623851568000,1.8,39,14,硕世生物,5.69
196,统一大市场,BK1077,1463.58,8.57,0.59,439213920000,1.88,33,9,天顺股份,5.92
197,辅助生殖,BK0939,1142.1,6.6,0.58,597537168000,1.91,41,12,ST人福,3.65
198,供销社概念,BK1109,1221.98,7.04,0.58,159583349000,1.93,12,2,浙农股份,1.77
199,深成500,BK0568,1517.01,8.63,0.57,29586627584000,2.55,307,188,美锦能源,10.0
200,新材料,BK0523,39915.81,223.54,0.56,7092850176000,3.72,213,163,亚玛顿,10.01
201,社保重仓,BK0520,14521.61,81.18,0.56,305754112000,2.08,10,10,中曼石油,7.71
202,新能源车,BK0900,2680.43,14.82,0.56,15927258880000,3.18,379,265,凯龙高科,20.0
203,3D摄像头,BK0901,1755.41,9.66,0.55,674608800000,2.73,4,5,水晶光电,7.99
204,ST股,BK0511,7443.63,40.45,0.55,830500400000,1.79,97,69,*ST云创,24.07
