排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
361,AI手机,BK1162,1949.98,-12.39,-0.63,1074421072000,2.6,13,21,水晶光电,7.99
362,纳米银,BK0855,2797.05,-17.82,-0.63,99933796000,5.5,4,3,万顺新材,2.41
363,鸿蒙概念,BK0953,1751.32,-11.41,-0.65,2606881184000,3.44,46,75,我爱我家,10.06
364,半导体概念,BK0917,2498.24,-16.65,-0.66,14505492992000,4.07,147,313,英威腾,10.05
365,第四代半导体,BK1121,2339.26,-16.24,-0.69,194787751000,2.69,1,4,衢州发展,2.2
366,人工智能,BK0800,2020.81,-14.24,-0.7,14443465728000,2.91,255,427,特发信息,10.01
367,DRG/DIP,BK1054,1266.58,-8.95,-0.7,181480859000,2.63,5,13,ST易联众,3.11
368,区块链,BK0830,1285.88,-9.38,-0.72,9834452736000,1.8,97,133,泰豪科技,6.63
369,高带宽内存,BK1152,1742.7,-12.83,-0.73,1423202896000,3.39,9,18,壹石通,4.41
370,无线耳机,BK0893,2493.43,-18.95,-0.75,2977282336000,3.24,27,53,科瑞技术,6.0
371,国产芯片,BK0891,4702.74,-37.06,-0.78,13949703424000,3.63,118,253,天通股份,10.0
372,IGBT概念,BK1048,1037.23,-8.43,-0.81,2072604528000,4.43,10,28,TCL中环,9.99
373,UWB概念,BK0880,2114.37,-17.38,-0.82,497331760000,2.77,9,9,浩云科技,2.15
374,液冷概念,BK1138,1913.93,-16.79,-0.87,5332734464000,4.16,43,83,双良节能,10.0
375,数据中心,BK0922,2247.09,-19.85,-0.88,8391521280000,2.85,87,147,特发信息,10.01
376,NFT概念,BK0997,2022.94,-18.3,-0.9,722116064000,5.59,16,38,华侨城Ａ,6.92
377,数字经济,BK1061,1490.16,-13.76,-0.91,2100796576000,3.02,66,113,众业达,10.03
378,毫米波概念,BK1124,2419.71,-22.69,-0.93,1061499440000,6.36,16,30,锐明技术,10.01
379,中芯概念,BK0935,2028.58,-19.24,-0.94,3518299552000,2.9,14,50,TCL中环,9.99
380,网红经济,BK0940,852.4,-8.09,-0.94,1900913920000,4.73,63,63,名雕股份,9.99
381,F5G概念,BK1088,3992.49,-38.48,-0.95,1329748928000,2.29,8,16,特发信息,10.01
382,氮化镓,BK0916,1928.02,-18.62,-0.96,1359611840000,4.54,15,33,安克创新,2.31
383,数字哨兵,BK1084,1675.7,-16.3,-0.96,94555786000,2.97,4,8,ST英飞拓,0.82
384,AIPC,BK1164,2379.76,-23.39,-0.97,1710319872000,4.26,12,33,翰博高新,11.29
385,在线教育,BK0662,2384.87,-23.73,-0.99,1675858672000,4.32,36,78,ST开元,5.48
386,数字水印,BK1129,1171.98,-11.98,-1.01,124108102000,3.47,4,13,大胜达,2.13
387,混合现实,BK1141,1813.57,-18.84,-1.03,1318759328000,2.41,13,17,兆威机电,2.97
388,百元股,BK1059,878.71,-9.18,-1.03,17902917888000,3.12,81,136,锋龙股份,8.27
389,EDA概念,BK0946,1568.93,-16.83,-1.06,275722032000,2.73,4,8,同济科技,1.89
390,国产软件,BK0696,4041.96,-44.31,-1.08,3613198320000,3.88,65,166,琏升科技,6.49
391,广电,BK0904,1897.16,-20.93,-1.09,273978944000,3.35,7,20,银河电子,2.55
392,华为欧拉,BK1013,1502.03,-16.67,-1.1,235943607000,2.52,1,13,艾融软件,1.78
393,大数据,BK0634,6138.57,-68.7,-1.11,6484375552000,3.85,97,194,特发信息,10.01
394,阿里概念,BK0689,3082.29,-35.71,-1.15,5215557888000,3.43,59,101,顺钠股份,9.96
395,汽车芯片,BK0969,1558.0,-18.19,-1.15,1993777664000,3.16,18,52,格尔软件,5.73
396,卫星互联网,BK0921,2404.36,-28.49,-1.17,2606525248000,2.51,22,59,全信股份,6.69
397,DeepSeek概念,BK1188,1470.6,-17.44,-1.17,4570867712000,3.79,70,173,众业达,10.03
398,AI芯片,BK1127,1864.43,-22.91,-1.21,2516653232000,4.31,10,28,安孚科技,7.64
399,CPO概念,BK1128,5771.43,-70.98,-1.21,3198193296000,4.99,13,31,天通股份,10.0
400,华为海思,BK1180,1910.46,-23.61,-1.22,1033138224000,4.47,7,33,晶升股份,4.27
